Улица;,Цена;,Ссылка;,Описание;
"просп. Правды, 45а",;,66 400 $,;,https://flatfy.ua/redirect/383136672,;,"2-х комнатная квартира в ЖК Варшавский -2, первая очередь, дом14.3, планировка 2С7, 59/26/16, 10 этаж 15 этажного дома, окна во двор и на Межевую (юг/восток). Сдача 1кв. 2022г. Дом комфорт класса, семейного типа, нет однокомнатных, 5 квартир на этаже, 2 лифта. 66400 Переуступка Подробно на сайте: https://dom-plus.ua/2197136 Код объекта: 2197136"
"ул. Клавдиевская, 40е",;,53 000 $,;,https://flatfy.ua/redirect/383066658,;,"Продается 2-комн. квартира, ул. Клавдиевская 40е, 26/26 эт., 60/30,91/15,07 кв.м. ЖК Грюнвальд Черновые ремонтные работы выполнены. Потолок утеплён. От соседей шумоизоляция. Теплые полы – разводка сделана. Установлено видовое окно в спальне. Подготовлено всё для подключения двухконтурного котла. Экономия средств и тёплая квартира в холодное время года. В комплексе множество магазинов, кофейни, салон красоты, детская комната. ОСББ; консьерж; камеры наблюдения в доме и по периметру; большая детская площадка; всегда свежий лесной воздух; в округе леса и озера, вечером из окна прекрасный вид на закат. Обжитый район, общественный транспорт, ближайшее метро-Академгородок. Цена: 53000у.е. Александр (063)6848627, 0442392600 Valion.ua/1019176"
"просп. Правды, 45",;,66 400 $,;,https://flatfy.ua/redirect/383108450,;,"Продажа 2к кв 59м2, ЖК Варшавский-2, дом 14.3, сдача 1кв.2022г. Планировка 2С7, 10 этаж 15 этажного дома, окна во двор и на Межевую (юг/восток). Дом комфорт класса, 5 квартир на этаже, 2 лифта. Жилой комплекс имеет закрытую территорию с детской и спорт площадками, зоны отдыха отдыха. Рядом ТРЦ Ретровиль,школы ,садики,гимназия,строится детская образовательная школа, на территории салоны красоты,магазины,кафе,территория озеленена .Рядом с ЖК остановки городского транспорта,строится метро. Номер объявления на сайте компании: SF-1-975-854-LN."
"просп. Правды, 45",;,66 400 $,;,https://flatfy.ua/redirect/383038833,;,"Продам 2к квартиру в ЖК Варшавский-2 Дом 14.3 - сдача 1кв.2022г. Дом комфорт класса, в котором нет однокомнатных квартир. Всего 5 квартир на этаже в парадном 2 лифта В доме своя котельная. Внутренний двор закрыт от посторонних и машин. На территории жк будет свой дет.сад, магазины и кофейни Рядом ТРЦ Ретровиль, Novus, Леруа Мерлен, Сильпо В следующем году откроется станция метро в пешей доступности. цена 66400 у.е. 063 18 777 14 044 503 06 43 Юрий valion.ua/1030157"
"ул. Соломенская, 20в",;,69 000 $,;,https://flatfy.ua/redirect/383038820,;,"Продам видовую 2-комнатную квартиру в новом доме, по адресу ул. Соломенская 20в. 15-й этаж, площадь: 41м2. 2-комнатная квартира с рациональной планировкой. Отдельная гардеробная (8, 1М) и подогрев пола в санузле. У дома есть собственная закрытая территория, под охраной и видеонаблюдением, консьерж-сервис."
"Балтийский пер., 3",;,64 500 $,;,https://flatfy.ua/redirect/383037885,;,"Оболонский р-н, пер. Балтийский, 3. 2-комн. квартира 25/25-го, 72,6/36/11,5 кв.м. Две раздельные комнаты, раздельный санузел, выход на лоджию из кухни. Квартира готова к проживанию - электрика, сантехника, обои, линолеум, межкомнатные двери. ЖК Навигатор – новый комплекс от надежного застройщика. Технология строительства – железобетонная панель с внешним утеплением минеральной ватой HOSTROCK, энергосберегающие окна REHAU, строительная отделка – электрика, сантехника, обои, линолеум, межкомнатные двери. Развитая инфраструктура, удобное транспортное сообщение, до ст.м. Петровка 15мин. Дом сдан, заселен."
"Балтийский пер., 3",;,67 000 $,;,https://flatfy.ua/redirect/383037533,;,"Двухкомнатная квартира в ЖК Навигатор, 2 дом, 1 секция. Дом сдан и заселен, высокий этаж, односторонняя. Продажа по переуступке! В подъезде три лифта, 2 пассажирских и один грузовой, внимательный консьерж. Школы в пешей доступности. Рядом ТРЦ с супермаркетом. Отсановка скоростного трамвая. До ст.м. Почайна - 15 мин. на общественном транспорте"
Лысогорский спуск,;,48 500 $,;,https://flatfy.ua/redirect/383024858,;,"Продаём свою видовую квартиру в связи с необходимостью иметь жильё большей площади. Комплекс находится в зелёном и тихом районе с удобной транспортной развязкой и несколькими гаражными кооперативами поблизости. Все окна имеют отличный панорамный вид на Днепр, Лысую гору и город. Со временем этот вид будет только лучше, т.к. данный район будет облагораживаться, а последующие очереди не помешаю Вам его наблюдать. В планах у застройщика построить комплекс по типу «город в городе», т.е. комплекс, имеющий всё необходимое прямо под боком, например: несколько детских садиков, школа, торговый центр, паркинг и много другое. Квартира находится в 1-й секции первой очереди. Две другие очереди уже делают ремонт и в ближайший месяц-два запустят на ремонт 1-ю секцию. Полная сдача первой очереди в эксплуатацию запланирована на осень 2021. Фото были сделаны по состоянию ремонтных работ на 14.05.2021."
ул. Жулянская,;,57 000 $,;,https://flatfy.ua/redirect/383004017,;,"Предлагается видовая 2-к квартира в современном жилом комплексе комфорт-класса ""Абрикосовый"" в зеленом районе Киева - Голосеевском. Здесь хорошая социальная инфраструктура и великолепная природа, что делает его очень привлекательным местом для жизни.Застройщик: ЧАО «ХК «Киевгорстрой» - лидер строительной отрасли Украины.Жилой комплекс ""Абрикосовый"" по ул. Жулянской, состоит из трех 26-этажных домов, в которых 2 последние этажи - двухуровневые квартиры. Вокруг комплекса с одной стороны коттеджные дома, а с другой - немного малоэтажных домиков и лесопарковая полоса.Комплекс спроектирован с использованием всех последних технологических и инженерных разработок, архитектурных решений, поэтому дома выглядят очень современными и выделяются на фоне других. Планировки квартир удивительно комфортные и удобные. Монолитно-каркасная технология строительства зданий позволяет владельцам помещения сделать перепланировку по своему вкусу и стилю.Неподалеку от комплекса по ул. Теремковской есть удобный выезд на кольцевую дорогу и проспект Академика Глушкова.Вблизи пролегают многие маршруты общественного транспорта, а до станции метро ""Теремки"" идти всего 10 минут.Поблизости есть большое количество школ и садиков как частных, так и государственных.Жизнь в комплексе ""Абрикосовый"" - это удобство и престиж. Это жизнь в тишине и на свежем воздухе, при этом в 10 мин пешей доступности метро.Это не просто квартира - это стиль жизни!Звоните!"
просп. Отрадный (Чубаря),;,50 000 $,;,https://flatfy.ua/redirect/383000966,;,"Предлагаю просторную раздельную 2-к/к (62 м2) с кухней-столовой в ЖК Отрада - комфортном и уютном жилом комплексе в тихой и зеленой местности Киева, в Соломенском районе на просп. Отрадном, 93/2 .Внутренняя дворовая территория комплекса будет защищена от проезда машин, оборудована современными детскими игровыми и спортивными площадками, также обустроена стадионом и зонами отдыха с проложенными дорожками, чтобы жители могли спокойно расслабляться в собственном дворе в уюте и покое после напряженного дня в шумном мегаполисе и не волноваться за своих малышей.Вокруг комплекса хорошо развита инфраструктура. Здесь много учебных заведений: школы, детские сады, вузы, институты и колледжи, поэтому ЖК Отрада станет удобным местом проживания для молодежи. На проспекте Космонавта Комарова находится Медгородок с детской и взрослой поликлиниками, клинической больницей, Центром микрохирургии глаза и Институтом хирургии и трасплантологии.Без комиссии!Звоните!"
